name	variant	category
Roboto Mono 700	700	monospace
Roboto Mono 700italic	700italic	monospace
Josefin Sans 100	100	sans-serif
Josefin Sans 100italic	100italic	sans-serif
Josefin Sans 300	300	sans-serif
Josefin Sans 300italic	300italic	sans-serif
Josefin Sans regular	regular	sans-serif
Josefin Sans italic	italic	sans-serif
Josefin Sans 600	600	sans-serif
Josefin Sans 600italic	600italic	sans-serif
Josefin Sans 700	700	sans-serif
Josefin Sans 700italic	700italic	sans-serif
Bree Serif regular	regular	serif
Catamaran 100	100	sans-serif
Catamaran 200	200	sans-serif
Catamaran 300	300	sans-serif
Catamaran regular	regular	sans-serif
Catamaran 500	500	sans-serif
Catamaran 600	600	sans-serif
Catamaran 700	700	sans-serif
Catamaran 800	800	sans-serif
Catamaran 900	900	sans-serif
Merriweather Sans 300	300	sans-serif
Merriweather Sans 300italic	300italic	sans-serif
Merriweather Sans regular	regular	sans-serif
Merriweather Sans italic	italic	sans-serif
Merriweather Sans 700	700	sans-serif
Merriweather Sans 700italic	700italic	sans-serif
Merriweather Sans 800	800	sans-serif
Merriweather Sans 800italic	800italic	sans-serif
Fira Sans 100	100	sans-serif
Fira Sans 100italic	100italic	sans-serif
Fira Sans 200	200	sans-serif
Fira Sans 200italic	200italic	sans-serif
Fira Sans 300	300	sans-serif
Fira Sans 300italic	300italic	sans-serif
Fira Sans regular	regular	sans-serif
Fira Sans italic	italic	sans-serif
Fira Sans 500	500	sans-serif
Fira Sans 500italic	500italic	sans-serif
Fira Sans 600	600	sans-serif
Fira Sans 600italic	600italic	sans-serif
Fira Sans 700	700	sans-serif
Fira Sans 700italic	700italic	sans-serif
Fira Sans 800	800	sans-serif
Fira Sans 800italic	800italic	sans-serif
Fira Sans 900	900	sans-serif
Fira Sans 900italic	900italic	sans-serif
Abril Fatface regular	regular	display
Exo 2 100	100	sans-serif
Exo 2 100italic	100italic	sans-serif
Exo 2 200	200	sans-serif
Exo 2 200italic	200italic	sans-serif
Exo 2 300	300	sans-serif
Exo 2 300italic	300italic	sans-serif
